service_id,date,exception_type
AFA25GEN-3093-Weekday-00_C30,20251217,2
AFA25GEN-3093-Weekday-00_C30,20251225,2
AFA25GEN-3093-Weekday-00_C30,20260101,2
AFA25GEN-3093-Weekday-00_C30,20260119,2
AFA25GEN-3093-Weekday-00_C30,20260216,2
AFA25GEN-4043-Saturday-00_C9,20251213,2
AFA25GEN-4043-Saturday-00_C9,20260119,1
AFA25GEN-4043-Saturday-00_C9,20260216,1
AFA25GEN-4049-Sunday-00_C22,20251127,1
AFA25GEN-4049-Sunday-00_C22,20251214,2
AFA25GEN-4049-Sunday-00_C22,20251225,1
AFA25GEN-4049-Sunday-00_C22,20260101,1
AFA25GEN-4104-Weekday-00_C36,20251127,2
AFA25GEN-4104-Weekday-00_C36,20251209,2
AFA25GEN-4104-Weekday-00_C36,20251210,2
AFA25GEN-4104-Weekday-00_C36,20251211,2
AFA25GEN-4104-Weekday-00_C36,20251212,2
AFA25GEN-4104-Weekday-00_C36,20251215,2
AFA25GEN-4104-Weekday-00_C36,20251216,2
AFA25GEN-4104-Weekday-00_C36,20251217,2
AFA25GEN-4104-Weekday-00_C36,20251225,2
AFA25GEN-4104-Weekday-00_C36,20260101,2
AFA25GEN-4104-Weekday-00_C36,20260119,2
AFA25GEN-4104-Weekday-00_C36,20260216,2
AFA25GEN-5044-Saturday-00_C6,20251213,2
AFA25GEN-5044-Saturday-00_C6,20260119,1
AFA25GEN-5044-Saturday-00_C6,20260216,1
AFA25GEN-5049-Sunday-00_C52,20251127,1
AFA25GEN-5049-Sunday-00_C52,20251214,2
AFA25GEN-5049-Sunday-00_C52,20251225,1
AFA25GEN-5049-Sunday-00_C52,20260101,1
AFA25GEN-5113-Weekday-00_C21,20251127,2
AFA25GEN-5113-Weekday-00_C21,20251209,2
AFA25GEN-5113-Weekday-00_C21,20251210,2
AFA25GEN-5113-Weekday-00_C21,20251211,2
AFA25GEN-5113-Weekday-00_C21,20251212,2
AFA25GEN-5113-Weekday-00_C21,20251215,2
AFA25GEN-5113-Weekday-00_C21,20251216,2
AFA25GEN-5113-Weekday-00_C21,20251217,2
AFA25GEN-5113-Weekday-00_C21,20251225,2
AFA25GEN-5113-Weekday-00_C21,20260101,2
AFA25GEN-5113-Weekday-00_C21,20260119,2
AFA25GEN-5113-Weekday-00_C21,20260216,2
AFA25GEN-6031-Sunday-00_C23,20251127,1
AFA25GEN-6031-Sunday-00_C23,20251214,2
AFA25GEN-6031-Sunday-00_C23,20251225,1
AFA25GEN-6031-Sunday-00_C23,20260101,1
AFA25GEN-6034-Saturday-00_C56,20251213,2
AFA25GEN-6034-Saturday-00_C56,20260119,1
AFA25GEN-6034-Saturday-00_C56,20260216,1
AFA25GEN-6091-Weekday-00_C2,20251127,2
AFA25GEN-6091-Weekday-00_C2,20251209,2
AFA25GEN-6091-Weekday-00_C2,20251210,2
AFA25GEN-6091-Weekday-00_C2,20251211,2
AFA25GEN-6091-Weekday-00_C2,20251212,2
AFA25GEN-6091-Weekday-00_C2,20251215,2
AFA25GEN-6091-Weekday-00_C2,20251216,2
AFA25GEN-6091-Weekday-00_C2,20251217,2
AFA25GEN-6091-Weekday-00_C2,20251225,2
AFA25GEN-6091-Weekday-00_C2,20260101,2
AFA25GEN-6091-Weekday-00_C2,20260119,2
AFA25GEN-6091-Weekday-00_C2,20260216,2
AFA25GEN-7024-Saturday-00_C53,20251213,2
AFA25GEN-7024-Saturday-00_C53,20260119,1
AFA25GEN-7024-Saturday-00_C53,20260216,1
AFA25GEN-7026-Sunday-00_C16,20251127,1
AFA25GEN-7026-Sunday-00_C16,20251214,2
AFA25GEN-7026-Sunday-00_C16,20251225,1
AFA25GEN-7026-Sunday-00_C16,20260101,1
AFA25GEN-7064-Weekday-00_C29,20251127,2
AFA25GEN-7064-Weekday-00_C29,20251209,2
AFA25GEN-7064-Weekday-00_C29,20251210,2
AFA25GEN-7064-Weekday-00_C29,20251211,2
AFA25GEN-7064-Weekday-00_C29,20251212,2
AFA25GEN-7064-Weekday-00_C29,20251215,2
AFA25GEN-7064-Weekday-00_C29,20251216,2
AFA25GEN-7064-Weekday-00_C29,20251217,2
